9663676416,8
16777224,16
2359296,8
266240,8
8589934593,16
520,16
8590196736,8
32832,16
2097153,16
1073745920,8
4947802324992,8
2251868533161984,4
18874368,16
134217736,16
2251799813718016,4
4406636445696,8
134217729,16
4104,16
549755846656,16
1024,6
562949953421312,3
281476050452480,6
128,6
68721573888,16
281474976710657,12
8192,6
8589938688,16
68853694464,16
558345748480,16
35184506306560,8
2256197860196352,2
2097160,16
2147483648,1
316659348799488,6
281474976710720,12
16781312,16
1207959552,8
35734127902720,8
2286984185774080,2
549757911040,16
2533274790395904,3
262208,8
9,16
8589934600,16
1074003968,4
35184372350976,4
281474976710664,12
262152,8
2097216,16
32769,16
72,16
35184374185984,8
281474993487872,12
576,16
1073741825,8
35253091565568,8
68719476800,16
1099511627776,6
281474976972800,6
35184372088833,8
285873023221760,6
4097,16
2251799813689344,4
549755813896,16
2251799947902976,4
549772591104,16
16809984,16
549756076032,8
549890031616,16
35185445830656,4
618475290624,16
282024732524544,12
4160,16
65,16
2251799813685312,4
2251799813685760,4
4398046515200,8
134250496,16
281474976743424,12
2101248,16
35184372121600,8
4608,16
294912,8
4398046511168,8
1073742336,8
136314880,16
16777280,16
16,6
35184372088840,8
4398180728832,8
2251799813947392,2
35184372088896,8
32776,16
68719480832,16
550829555712,8
281474976714752,12
134218240,16
8589935104,16
35184372089344,8
281474976711168,12
65536,6
8606711808,16
68719477248,16
4398046511616,8
281483566645248,12
150994944,16
4466765987840,8
8796093022208,1
68719476737,16
2252349569499136,4
68719509504,16
2251800887427072,2
524288,1
1073741888,8
68719476744,16
1073774592,8
68736253952,16
134221824,16
2,6
4398063288320,8
36864,16
35184388866048,8
33280,16
70368744177664,1
549755813889,16
68719738880,8
4398046773248,4
33554432,6
513,16
16777217,16
4194304,6
262656,8
268435456,6
549755813952,16
4399120252928,4
17179869184,6
2129920,16
2097664,16
8589934656,16
2251799813685249,4
549755814400,16
134217792,16
4398046543872,8
549755817984,16
1075838976,8
281543696187392,12
2251799815782400,4
69793218560,8
35184372092928,8
281475110928384,12
262145,8
16777728,16
8589967360,16
8592031744,16
1090519040,8
134479872,8
1073741832,8
8724152320,16
39582418599936,4
281474978807808,12
4398046511105,8
2251799830462464,4
77309411328,16
137438953472,6
17039360,8
4398046511112,8
2251799813685256,4
2251808403619840,4
35192962023424,8
4398048608256,8
