5497826574400,5.893,5.522
2533274792493122,7.146,6.209
285873157440513,5.022,4.371
2251801961168976,7.007,6.77
281475245147200,5.715,4.903
4398063321161,9.286,8.393
560493527040,10.781,8.733
285881613164608,5.932,3.783
35802864451584,10.034,8.399
4398214283777,6.346,4.805
2287052905250833,3.378,3.378
17181966857,8.53,8.145
1208222210,6.998,5.969
2251809477885953,8.35,6.751
68736258184,9.742,8.927
71468272844800,10.725,9.574
2251799847243785,4.665,3
8873402466816,9.351,7.962
4467034423809,4.105,3.893
2251800889561152,5.932,4.515
138444802,6.461,4.406
99329,7.923,7.183
4398050738248,9.89,9.067
151031824,6.584,3
8864812765248,9.567,8.884
35742852120576,6.371,3.658
4399120285776,9.677,9.012
549778882561,10.2,9.536
17198743568,10.393,9.533
4398050710528,8.761,7.473
35742734647304,10.117,8.561
620622774848,8.937,8.602
68854222912,5.631,4.272
281483566682128,6.572,3
844424930132552,5.004,4.85
281544904146953,3.209,3.18
2251877274095616,6.953,3
35871583633472,9.045,8.879
2251800908431360,7.751,3
618475553352,8.454,8.28
35185731043336,6.864,5.595
8804817174656,7.182,5.713
4400211034624,10.511,9.005
281475113058306,6.662,4.621
286491515551744,7.127,5.484
70439613235200,10.26,9.668
4400194007040,10.803,9.274
4949949874176,10.249,9.042
2252969118531585,6.215,5.884
281543696252930,4.287,3.703
77443629066,3.856,3.712
206158692417,7.706,7.706
77311512592,9.977,9.096
2251801023742024,5.112,4.952
2814818488942592,6.372,6.058
18874890,8.592,8.109
70377336242177,9.9,8.784
138674178,7.241,6.389
1342177864,5.16,4.845
70927224143936,6.792,5.809
5497574948928,9.826,8.678
285942950658056,6.019,5.641
2252349569544192,6.609,4.507
2568459296997376,7.681,4.624
39651154853904,9.817,9.485
40132444946432,6.931,6.008
281612551983104,6.096,6.096
4407173316608,7.877,6.4
316659500318720,8.201,5.869
316728353488896,6.361,5.475
35184523088385,5.469,3
562949970493441,6.873,3.064
17080321,9.708,8.28
2147491856,10.193,9.025
285873157702152,6.291,5.429
281483583430664,6.791,3
281622079373312,6.689,4.063
8798374723592,6.914,5.905
9663677120,10.232,9.11
